AGES
16
50
47
51
34
45
40
37
61
46
62
39
40
19
33
59
24
47
45
48
26
60
42
46
33
20
24
31
38
22
61
30
34
70
34
58
61
39
49
41
21
32
60
45
32
27
37
52
65
36
